"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different requests on the student application","Check if the student application can be accessed by users","SUCCESS","2018-08-12T21:37:40.617-06:00","0.0","36.6"
"Testing different requests on the student application","Create a new student & verify if the student is added","SUCCESS","2018-08-12T21:38:30.482-06:00","0.0","9.85"
"Student CRUD test","Delete the Student and veify if student is deleted","SUCCESS","2018-08-12T21:40:28.237-06:00","0.0","3.37"
"Serenity id info","Get all student","SUCCESS","2018-08-12T21:39:00.860-06:00","0.0","2.72"
"First serenity test","Get all student","SUCCESS","2018-08-12T21:39:40.252-06:00","0.0","2.66"
"Tag test","Provide 200 status code correct HttpMethd","SUCCESS","2018-08-12T21:40:39.018-06:00","0.0","2.78"
"Tag test","Provide 400 status code incorrect Http Resource","SUCCESS","2018-08-12T21:40:34.060-06:00","0.0","2.73"
"Tag test","Provide 405 status code incorrenct HttpMethd","SUCCESS","2018-08-12T21:40:44.110-06:00","0.0","1.9"
"Student CRUD test","Student was added to the  applciation","SUCCESS","2018-08-12T21:40:14.932-06:00","0.0","3.43"
"Student CRUD test","This test Will Create New Student","SUCCESS","2018-08-12T21:40:09.585-06:00","0.0","3.01"
"Serenity id info","This test will get information student from Student App","SUCCESS","2018-08-12T21:38:55.330-06:00","0.0","2.73"
"Student CRUD test","Update the User Information and Verify updated information","SUCCESS","2018-08-12T21:40:22.389-06:00","0.0","3.62"
